"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"41","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.5","GBR","_T","_Z","2007","PT_POP_AGE"
"42","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.7","GBR","M","_Z","2007","PT_POP_AGE"
"43","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.7","GBR","F","_Z","2007","PT_POP_AGE"
"44","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"60.5","GBR","M","_Z","2007","PT_POP_AGE"
"45","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.5","GBR","_T","_Z","2007","PT_POP_AGE"
"46","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"77.1","GBR","_T","_Z","2008","PT_POP_AGE"
"47","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"60.1","GBR","M","_Z","2008","PT_POP_AGE"
"48","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"92.7","GBR","F","_Z","2008","PT_POP_AGE"
"49","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"76.7","GBR","M","_Z","2008","PT_POP_AGE"
"50","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89","GBR","_T","_Z","2008","PT_POP_AGE"
"51","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"93.9","GBR","_T","_Z","2008","PT_POP_AGE"
"52","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.3","GBR","F","_Z","2008","PT_POP_AGE"
"53","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89.7","GBR","M","_Z","2008","PT_POP_AGE"
"54","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"95.2","GBR","M","_Z","2008","PT_POP_AGE"
"55","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.1","GBR","_T","_Z","2008","PT_POP_AGE"
"56","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"77.4","GBR","F","_Z","2008","PT_POP_AGE"
"57","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"58.3","GBR","F","_Z","2008","PT_POP_AGE"
"58","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.1","GBR","F","_Z","2009","PT_POP_AGE"
"59","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"76.4","GBR","F","_Z","2009","PT_POP_AGE"
"60","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.6","GBR","_T","_Z","2009","PT_POP_AGE"
"61","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"94.9","GBR","M","_Z","2009","PT_POP_AGE"
"62","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89.4","GBR","M","_Z","2009","PT_POP_AGE"
"63","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.6","GBR","F","_Z","2009","PT_POP_AGE"
"64","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"93.8","GBR","_T","_Z","2009","PT_POP_AGE"
"65","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.5","GBR","_T","_Z","2009","PT_POP_AGE"
"66","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"75.4","GBR","M","_Z","2009","PT_POP_AGE"
"67","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"92.8","GBR","F","_Z","2009","PT_POP_AGE"
"68","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"60.3","GBR","M","_Z","2009","PT_POP_AGE"
"69","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"75.9","GBR","_T","_Z","2009","PT_POP_AGE"
"70","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"76.8","GBR","_T","_Z","2010","PT_POP_AGE"
"71","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"61.1","GBR","M","_Z","2010","PT_POP_AGE"
"72","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"92.1","GBR","F","_Z","2010","PT_POP_AGE"
"73","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"76.6","GBR","M","_Z","2010","PT_POP_AGE"
"74","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.4","GBR","_T","_Z","2010","PT_POP_AGE"
"75","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"93.3","GBR","_T","_Z","2010","PT_POP_AGE"
"76","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"87.8","GBR","F","_Z","2010","PT_POP_AGE"
"77","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"88.9","GBR","M","_Z","2010","PT_POP_AGE"
"78","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"94.6","GBR","M","_Z","2010","PT_POP_AGE"
"79","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"61","GBR","_T","_Z","2010","PT_POP_AGE"
"80","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"77","GBR","F","_Z","2010","PT_POP_AGE"
"81","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"60.9","GBR","F","_Z","2010","PT_POP_AGE"
"82","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.4","GBR","F","_Z","2011","PT_POP_AGE"
"83","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.7","GBR","F","_Z","2011","PT_POP_AGE"
"84","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"59.9","GBR","_T","_Z","2011","PT_POP_AGE"
"85","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"95.7","GBR","M","_Z","2011","PT_POP_AGE"
"86","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.8","GBR","M","_Z","2011","PT_POP_AGE"
"87","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86","GBR","F","_Z","2011","PT_POP_AGE"
"88","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"93.1","GBR","_T","_Z","2011","PT_POP_AGE"
"89","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.4","GBR","_T","_Z","2011","PT_POP_AGE"
"90","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.9","GBR","M","_Z","2011","PT_POP_AGE"
"91","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"90.3","GBR","F","_Z","2011","PT_POP_AGE"
"92","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"60.4","GBR","M","_Z","2011","PT_POP_AGE"
"93","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"73.8","GBR","_T","_Z","2011","PT_POP_AGE"
"94","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"71.3","GBR","_T","_Z","2012","PT_POP_AGE"
"95","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"54.2","GBR","M","_Z","2012","PT_POP_AGE"
"96","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"89.7","GBR","F","_Z","2012","PT_POP_AGE"
"97","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"72.8","GBR","M","_Z","2012","PT_POP_AGE"
"98","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"85.1","GBR","_T","_Z","2012","PT_POP_AGE"
"99","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"90.6","GBR","_T","_Z","2012","PT_POP_AGE"
"100","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"84.4","GBR","F","_Z","2012","PT_POP_AGE"
"101","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"85.9","GBR","M","_Z","2012","PT_POP_AGE"
"102","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"91.4","GBR","M","_Z","2012","PT_POP_AGE"
"103","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"52.9","GBR","_T","_Z","2012","PT_POP_AGE"
"104","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"69.8","GBR","F","_Z","2012","PT_POP_AGE"
"105","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"51.8","GBR","F","_Z","2012","PT_POP_AGE"
"106","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"54.3","GBR","F","_Z","2013","PT_POP_AGE"
"107","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"71.1","GBR","F","_Z","2013","PT_POP_AGE"
"108","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"53.8","GBR","_T","_Z","2013","PT_POP_AGE"
"109","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"91.5","GBR","M","_Z","2013","PT_POP_AGE"
"110","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86.5","GBR","M","_Z","2013","PT_POP_AGE"
"111","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"85.6","GBR","F","_Z","2013","PT_POP_AGE"
"112","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"91.5","GBR","_T","_Z","2013","PT_POP_AGE"
"113","Y25T44","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"86","GBR","_T","_Z","2013","PT_POP_AGE"
"114","Y45T64","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"69.8","GBR","M","_Z","2013","PT_POP_AGE"
"115","Y15T24","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"91.5","GBR","F","_Z","2013","PT_POP_AGE"
"116","Y_GE65","CRUDE","_Z","_Z","_Z","A","_Z","G","PHS",NA,NA,"53.4","GBR","M","_Z","2013","PT_POP_AGE"
