"","AGE","CALC_METHODOLOGY","CANCER_SITE","DEATH_CAUSE","DISEASE","FREQ","GESTATION_THRESHOLD","HEALTH_STATUS","MEASURE","OBS_STATUS","OBS_STATUS2","ObsValue","REF_AREA","SEX","SOCIO_ECON_STATUS","TIME_PERIOD","UNIT_MEASURE"
"40","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.1","SWE","F","_Z","2016","Y"
"41","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.1","SWE","F","_Z","2017","Y"
"42","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.3","SWE","F","_Z","2018","Y"
"43","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.8","SWE","F","_Z","2019","Y"
"44","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.2","SWE","F","_Z","2020","Y"
"45","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.9","SWE","F","_Z","2021","Y"
"46","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"84.8","SWE","F","_Z","2022","Y"
"47","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.4","SWE","M","_Z","2000","Y"
"48","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.6","SWE","M","_Z","2001","Y"
"49","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"77.7","SWE","M","_Z","2002","Y"
"50","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"78","SWE","M","_Z","2003","Y"
"51","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"78.4","SWE","M","_Z","2004","Y"
"52","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"78.5","SWE","M","_Z","2005","Y"
"53","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"78.8","SWE","M","_Z","2006","Y"
"54","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79","SWE","M","_Z","2007","Y"
"55","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.2","SWE","M","_Z","2008","Y"
"56","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.4","SWE","M","_Z","2009","Y"
"57","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.6","SWE","M","_Z","2010","Y"
"58","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.9","SWE","M","_Z","2011","Y"
"59","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"79.9","SWE","M","_Z","2012","Y"
"60","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.2","SWE","M","_Z","2013","Y"
"61","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.4","SWE","M","_Z","2014","Y"
"62","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.4","SWE","M","_Z","2015","Y"
"63","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.6","SWE","M","_Z","2016","Y"
"64","Y0","_Z","_Z","_Z","_Z","A","_Z","_Z","LFEXP",NA,NA,"80.8","SWE","M","_Z","2017","Y"
